input,input_fr,input_wo,label
You have declined my  payment.,Vous avez refusé mon paiement.,da ngeen ma bañal sama peyoor.,declined card payment
"The ATM charged me an extra fee, Why?","Le distributeur automatique de billets m’a facturé des frais supplémentaires, pourquoi ?","GAB bi  daf ma fayeeku yeneen njëg, lu tax?",cash withdrawal charge
Can I activate my card?,Puis-je activer ma carte ?,Ndax mën naa fexe ba sama kàrt dox ?,activate my card
When I'm traveling is it possible to add money automatically at certain time points?,"Lorsque je voyage, est-il possible d'ajouter de l'argent automatiquement à certains moments ?","Sumay tukki, ndax mën nañu yokk xaalis si saa si yenn saay?",top up failed
"There's a payment with my card that I definitely didn't do myself, never seen that name before.","Il y a un paiement avec ma carte que je n'ai certainement pas fait moi-même, je n'avais jamais vu ce nom auparavant.","Amna peyoor ak kàrt bu ma leer ni defaluma ko sama bopp, mësuma gis tur bi bu njëkk. ",card payment not recognised
"When I received my cash, the exchange rate was wrong.","Lorsque j'ai reçu mon argent, le taux de change était erroné.","Bi may jot sama xaalis, dayo weccoo xaalis bi jaarul woon yoon",wrong exchange rate for cash withdrawal
Why was I not allowed to do a transfer to a beneficiary?,Pourquoi n’avais-je pas le droit d’effectuer un transfert à un bénéficiaire ?,Lu tax amuma woon sañ-sañu toxal xaalis ci benefiseer bi?,beneficiary not allowed
"I'm trying to verify my top up card, how do I do that?","J'essaie de vérifier ma carte de recharge, comment puis-je faire ?","Jéem naa xool sama kàrt sarse, naka laa mëna def?",verify top up
The app failed to verify my id.,L'application n'a pas réussi à vérifier mon identité.,Aplikaasiyoŋ bi mujjul a saytu sama dàntite bi ?,unable to verify identity
Why do we need to verify top-ups?," Pourquoi devons-nous vérifier les recharges ?
", Lu tax ñu wara saytu rarsewaat yi?,transfer timing
"I cannot seem to buy something online with my card? the payment comes back, what's going on?","Je n’arrive pas à acheter quelque chose en ligne avec ma carte ? Le paiement revient, que se passe-t-il ?","Mënuma jënd dara ci net bi ak sama kàrt? Peyoor gi dafay dellusiwaat, lu xew?",reverted card payment?
Why have I been charged a fee for card payment?,Pourquoi des frais m'ont-ils été facturés pour un paiement par carte ?,Lu tax ñu feyloo ma ay fere ci peyoor gi ma defe ak sama kàrt ?,card payment fee charged
The cash I deposited using the ATM is still pending,L'argent que j'ai déposé au distributeur automatique est toujours en attente,Xaalis bi ma dugal ca GAB ba jàllagul ba tay ,pending cash withdrawal
Where in the app do I go to verify my identity?,Où dans l'application dois-je aller pour vérifier mon identité ?, Fan laa wara dem ci app bi ngir firndeel sama jëmm?,failed transfer
"I have an issue. I bought something within the past one to two weeks and have received one of the products; however, today the total was returned to my account. What's going on here?","J’ai un problème. J’ai acheté quelque chose au cours de la dernière à deux semaines et j’ai reçu l’un des produits ; Cependant, aujourd’hui, le total a été retourné à mon compte. Qu’est-ce qui se passe?","Amnaa jafe-jafe. Dama jënd benn mbir ci ñaari ayu-bis yi weesu, ma jot benn ci porodiwi yi; Waaye, tay, dañu ma  delloo lépp ci sama kontu. Lu xew?",reverted card payment?
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,Pouvez-vous m'envoyer une nouvelle carte et bloquer ma carte actuelle. Je suis en Espagne et mon portefeuille a été volé.,"Mën ngama yónnee kart bu bees te tëj sama kart bi fi nekk? Maa ngi ci senegaal, te dañu sàcc sama kalpe.",lost or stolen card
There is a  €1 fee on my account I didn't authorize,Il y a des frais de 1 € sur mon compte que je n’ai pas autorisé,Amna njëgu 1 fcfa ci sama kontu buma joxewul ndigal.,extra charge on statement
Which fiat currencies can I use through this app?,Quelles monnaies fiduciaires puis-je utiliser via cette application ?,Ban xaalis laa mëna jëfandikoo ci aplikaasioŋ bii?,fiat currency support
Can I change from AUD to GBP?,Puis-je passer de l'AUD à la GBP ?,Ndax mën naa weccoo ay AUD ak ay GBP.,exchange via app
I see a charge of 1L I do not recognize on my statement,Je vois un débit de 1L que je ne reconnais pas sur mon relevé,Gis naa ci sama karne kont benn pound boo xam ne xamuma lu ko waral ?,extra charge on statement
I wasn't able to withdraw money at an ATM,Je n’ai pas pu retirer de l’argent à un distributeur automatique de billets,Mënumawoona jël xaalis ci GAB bi.,declined cash withdrawal
"I tried to make a top-up and it was canceled, why is that?","J'ai essayé de faire une recharge et elle a été annulée, pourquoi ?",jéem naa duggal xaalis waaye dañu ko fomm. Lu tax?,transfer timing
I am waiting for a payment to be processed,J’attends qu’un paiement soit traité,Maa ngi xaar ñu fayma.,pending card payment
Why hasn't arrived yet a transaction I did to my friend?,Pourquoi une transaction que j'ai effectuée avec mon ami n'est-elle pas encore arrivée ?,Lu tax xaalis bi ma yónnee sama xarit bi yeggagul ba tay ?,transfer not received by recipient
Can you assist me in acquiring a virtual card?,Pouvez-vous m’aider à acquérir une carte virtuelle ?,Ndax mën ngeen ma jàppale ma am kàrt wirtiyel?,getting virtual card
I have to verify my source of funds.,Je dois vérifier ma source de fonds.,Dama wara saytu fu sama xaalis di bawoo ?,visa or mastercard
Looking at my statement I see that I was double charged for a payment I made.,"En regardant mon relevé, je constate que j'ai été facturé deux fois pour un paiement que j'ai effectué.","Bu ma seetloo sama rëlëwe, dama gis ne jël nañu  ñaari yoon feyyu ci lu ma fey ba pare.",declined card payment
I am inquiring about a $1 charge on my statement.,Je m'informe d'un débit de 1 $ sur mon relevé.,Damay sàkku ay xibaar ci xaalis bu tollu ci 1§ bu may gis ci sam karne kont,extra charge on statement
I keep trying to use my card to buy some things and you keep declining it. Why? I've tried multiple times to make it go through but it won't.,"J'essaie sans cesse d'utiliser ma carte pour acheter des choses, mais vous refusez sans cesse. Pourquoi ? J'ai essayé plusieurs fois, mais sans succès.","Jéem naa jëfandikoo sama kàrt ngir jënd ay mbir batey , waaye yeen na ngi koy bañ. Lu tax ? Jéem naa ko yoon yu bari  waaye demul.",declined card payment
What do I need in regards to identification?,De quoi ai-je besoin en matière d’identification ?,Lan laa yittewoo ngir firnde samay xàmme ?,verify my identity
Why isn't my cash deposit showing up in my account?,Pourquoi mon dépôt en espèces n’apparaît-il pas sur mon compte ?,Lan moo tax xaalis bima dugal feeñul ci sama kont?,balance not updated after cheque or cash deposit
Why is it saying my card payment is declined when I made it?,Pourquoi est-il indiqué que mon paiement par carte est refusé alors que je l'ai effectué ?,Lan moo tax sistem bi di wone ne peyoor bi ma defe ak sama kàrt dañu ko niilal te mu jàll bu yàgg,declined card payment
I have transactions that I don't recognize - I think someone is using my card.,J'ai des transactions que je ne reconnais pas - je pense que quelqu'un utilise ma carte.,Amna naa ay jëflante yuma xame wul. Yaakaar naa amna ku jëfandikoo sama kàrt. ,compromised card
I need my card delivered as soon as possible.,J’ai besoin que ma carte me soit livrée dans les plus brefs délais.,Dama bëgg ñu yónnee ma sama kàrt ci nimu gëna gaawe.,card delivery estimate
do you offer refunds? i would like to return purchase.,Proposez-vous des remboursements ? Je souhaite retourner l’achat.,Ndax da ngeen di delloo xaalis? Bëgg naa delloo li ma jënd.,request refund
"i have tried everything to complete a transfer but can't, what should i do next","J’ai tout essayé pour effectuer un transfert mais je n’y arrive pas, que dois-je faire ensuite","Jéem naa lu nekk ngir mëna toxal xaalis waaye mënu ma ko def, lan laa wara defaat.",declined transfer
Has there been any activity on my card today?,Y a-t-il eu une activité sur ma carte aujourd'hui ?,Ndax amna jëflante ci sama kàrt tay?,lost or stolen card
Why was I declined when I tried to get my money?,Pourquoi ma demande de remboursement a-t-elle été refusée ?,Lu tax ñu bañ ma dello sama xaalis?,declined cash withdrawal
I made a cash deposit to my account but i don't see it,J'ai effectué un dépôt en espèces sur mon compte mais je ne le vois pas,Def naa xaalis ci sama kont waaye gisuma ko.,transaction charged twice
I have made a recent check and cash deposit that isn't reflected in my balance.,J’ai récemment effectué un chèque et un dépôt en espèces qui ne sont pas reflétés dans mon solde.,Dama dugal benn sek ak xaalis bu bari bu yàggul dara te feeñul si sama koppar.,balance not updated after cheque or cash deposit
My refund is still pending,Mon remboursement est toujours en attente,Ba leegi maa ngiy xaar ñu delloo sama xaalis,Refund not showing up
I need to activate my card.,Je dois activer ma carte.,Dama wara doxal sama kàrt,top up limits
"phone is gone, dont want others to access account information","le téléphone a disparu, je ne veux pas que d'autres personnes accèdent aux informations du compte",Sama telefon dafa réern bëgguma keneen joti ci sama kont ,lost or stolen phone
"I deposited cash this morning, but it is not yet available.","J'ai déposé de l'argent ce matin, mais il n'est pas encore disponible.","Dugal naa xaalis ci sama kont ci suba, waaye jàllagul",balance not updated after cheque or cash deposit
Can you send me the actual card?, Pouvez-vous m'envoyer la vraie carte ?, Mën ngama yónnee kàrt dëgg gi?,balance not updated after cheque or cash deposit
I need a single use card for shopping online,J’ai besoin d’une carte à usage unique pour faire des achats en ligne,Dama soxla benn kart bu may jëfandikoo ngir  jënd ci net bi kese.,get disposable virtual card
How do I terminate my account.,Comment puis-je résilier mon compte ?,Naka laay def ba dakkal sama kont ?,direct debit payment not recognised
How much does it cost to top up by transfer?,Combien coûte une recharge par virement ?,Ñaata ngay fay ngir sarse?,top up by bank transfer charge
can usa residents get a card?,les résidents des États-Unis peuvent-ils obtenir une carte ?,Ndax ñi dëkk senegaal mën nañu am kart?,country support
How do I create a disposable virtual card?,Comment créer une carte virtuelle jetable ?,Nan  lañuy defaree kart virtuel buñ mëna sánni?,get disposable virtual card
Can this app be used to exchange currencies?,Cette application peut-elle être utilisée pour échanger des devises ?,Ndax mën nañu jëfandikoo aplikaasioŋ bii ngir weccoo xaalis?,exchange via app
What is the cost of a transfer?,Quel est le coût d'un transfert ?,Lan mooy njëgu yónnee bi ?,top up by bank transfer charge
I can't get my actual card to work,Je n'arrive pas à faire fonctionner ma carte actuelle,Mënuma doxal sama kàrt bima yor nii?,card not working
"There was just a withdrawal but it wasn't me, I've never even visited the town where the withdrawal happened.","Il y a eu juste un retrait mais ce n'était pas moi, je n'ai même jamais visité la ville où le retrait a eu lieu.","Am na xaalis jël ci sama kont, te du man. Mësuma dem ci béréb bi ñu ko defe ",cash withdrawal not recognised
How long do European transfers take?,Combien de temps prennent les virements européens ?,Yónnee tugal yi ñaata waxtu lay jël ?,transfer timing
Why was I charged a fee when making this transfer when I shouldn't have been?,Pourquoi des frais m'ont-ils été facturés lors de ce virement alors que je n'aurais pas dû l'être ?,Lu tax ñu feyloo ma ay fere ci yónnee bii te warul ?,transfer fee charged
Where in the European Union can I get a card?,Où dans l'Union européenne puis-je obtenir une carte ?,Fan ci Uñoo Oropeyen  laa mëna amee kàrt?,age limit
What countries are you available in?,Dans quels pays êtes-vous disponibles ?,Ci ban réew ngay mëna jàppandi? ,cash withdrawal charge
I can't remember my passcode.,Je ne me souviens pas de mon mot de passe.,Fàttalikootuma sama kod.,passcode forgotten
"The activation process did not work, please help?","Le processus d'activation n'a pas fonctionné, aidez-moi s'il vous plaît ?","Jéego yi ngir doxal sama kont bi doxul, dimbali leen ma.",activate my card
Are there fees for adding money with an International card?,Y a-t-il des frais pour ajouter de l'argent avec une carte internationale ?,Ndax amna ay fere ngir yokk xaalis ak kàrt biir réew ak bitim réew?,top up by card charge
My currency rate is inaccurate.,Mon taux de change est inexact.,Sama njëgu weccoo xaalis jaarul yoon.,card payment wrong exchange rate
I would like my refund for this item I bought.,Je voudrais mon remboursement pour cet article que j'ai acheté.,Dama bëggoone ñu delloo ma sama xaalis ci lima fi jëndoon.,request refund
I don't need to transfer anymore and I want to cancel it.,Je n’ai plus besoin de transférer et je veux l’annuler.,Soxlaatuma toxal xaalis te dama ko bëgga fomm.,cancel transfer
How do I get my card PIN?,Comment puis-je obtenir le code PIN de ma carte ?,Naka laa mëna ame kod-PINu sama kàrt?,get physical card
"I want to give a second card for this account to my daughter, would this be possible?","Je souhaite donner une deuxième carte pour ce compte à ma fille, serait-ce possible ?","Dama bëggoon a jox ñaareelu kàrtu kont bi sama doom ju jigéen ji, ndax loolu mën na nekk ?",getting spare card
Where is my PIN?,Où est mon code PIN ?,Fan la sama kod PIN nekk ?,get physical card
How long does it take for money to transfer as my balance hasn't been updated,Combien de temps faut-il pour que l'argent soit transféré car mon solde n'a pas été mis à jour,Ñaata waxtu moo war balaa ñuy yónnee xaalis bi ndax yeesalagu ñu sama tolluwaayu xaalis?,balance not updated after bank transfer
"Hello, I tried to take out some money out of the ATM, but it's still showing that it's pending? I really don't want to be charged for this.","Bonjour, j'ai essayé de retirer de l'argent au distributeur, mais il est toujours affiché comme étant en attente. Je ne veux vraiment pas être facturé pour ça.","Salaamaalekum, doon naa jéem a jël xaalis ci ab Gab, waaye ba tay àntuwul, bëgguma ma nag ñu dagg ma xaalis boobu ma jëlul",pending cash withdrawal
I want to replace my current PIN.,Je souhaite remplacer mon code PIN actuel.,Dama bëgga soppi sama baatu ubbikaay  bi fi nekk.,change pin
What payment methods are used to top up?,Quels moyens de paiement sont utilisés pour recharger ?,Yan xeetu payoor lañuy jëfandikoo ngir sarse xaalis ?,supported cards and currencies
Rates were applied wrong while using foreign currency at an ATM.,Des taux erronés ont été appliqués lors de l’utilisation de devises étrangères à un distributeur automatique.,"Bi ñuy jëfandikoo xaalis bu bawoo ci bitim réew ci gab bi, dañu jëfandikoo xaalis bu baaxul.",wrong exchange rate for cash withdrawal
Why does my transfer still say it is pending?,Pourquoi mon transfert indique-t-il toujours dis-le qu’il est en attente ?,Lu tax sama toxal xaalis di wone ni dafay xaar?,pending transfer
Can I get an auto Top-up?,Puis-je obtenir une recharge de voiture ?,Ndax mën naa am ab sarse oto ?,Refund not showing up
I found the card I thought I lost this morning. Can I reactivate this card?,J'ai retrouvé ce matin la carte que je croyais avoir perdue. Puis-je réactiver cette carte ?,Gis naa ci suba kàrt bi ma yaakaaroon ne réer na. Ndax mën naa doxalaat kàrt bi ?,pin blocked
Which currencies are allowed?,Quelles devises sont autorisées ?,Yan xaalis lañu nangu ?,transfer timing
I need to top up using a cheque,J'ai besoin de recharger avec un chèque,Dama yittewoo ab seg ngir dugal ci sama kont xaalis,top up by cash or cheque
I would like to cancel my purchase.,Je souhaite annuler mon achat.,Dama bëgga fomm li ma jënd.,request refund
Will my new card work outside of the EU?,Ma nouvelle carte fonctionnera-t-elle en dehors de l’UE ?,Ndax sama kàrt bu bees bi dafay dox feneen fu dul ci UE bi ?,country support
When will my transfer be in my account?,Quand mon virement sera-t-il sur mon compte ?,Kañ la xaalis bi dugg ci sama kont ?,transfer timing
Can I use American Express?,Puis-je utiliser American Express ?,Ndax mën naa jëfandikoo American Express ?,supported cards and currencies
I just got my new card and tried using it and it was declined?,Je viens de recevoir ma nouvelle carte et j'ai essayé de l'utiliser et elle a été refusée ?,"Dama jot sama kàrt bu bees bi, jéem naa ko jëfandikoo waaye nangu wuñu ko?",declined card payment
Why would there be an extra charge on my app?,Pourquoi y aurait-il des frais supplémentaires sur mon application ?,Lu tax mu wara am njëg yu yokku ci sama aplikasioŋ ,extra charge on statement
Is there a fee to order a physical card?,Y a-t-il des frais pour commander une carte physique ?,Ndax dafa am ay njëg ngir komànde kàrt GAB?,order physical card
I want a reason as to why my beneficiary is not allowed?,Je veux une raison pour laquelle mon bénéficiaire n’est pas autorisé ?,Bëgg naa xam lu waral sama benefeer joxuñuko ndigël?,beneficiary not allowed
What are the restrictions on the virtual cards?,Quelles sont les restrictions sur les cartes virtuelles ?,Yan ñooy àppi kàrti xarala yi ?,disposable card limits
I am interested in a Visa or Mastercard. Do you offer them?,Je suis intéressé par une carte Visa ou Mastercard. Les proposez-vous ?,"Dama yittewoo ab kàrt visa ak mastercard,  ndax am ngeen ko ?",visa or mastercard
I want to shut down my account as soon as possible.,Je souhaite fermer mon compte dès que possible.,Dama bëgga tëj sama kont ci nimu gëna gaawe.,terminate account
Where can I get a new passcode?,Où puis-je obtenir un nouveau mot de passe ?,Fan laa mëna ame baatu jàll bu bees?,transfer fee charged
Do you accept cheques for top-up?,Acceptez-vous les chèques pour le rechargement ?,Ndax nangu ngeen sekk ngir duggal xaalis?,fiat currency support
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?","Il y a des frais supplémentaires sur mon compte que je n'ai pas autorisés, c'est seulement 1 £, combien cela représente-t-il ?","Amna fere yu yokku ci sama kont te nanguwuma ko, 1 F kese la , ñaata lay tekki?",top up limits
Is it possible to change from AUD to GBP?,Est-il possible de passer de l'AUD à la GBP ?,Ndax mën nañu joge ci EUR dem ci CFA?,exchange via app
I'm not sure why my card didn't work,Je ne sais pas pourquoi ma carte n’a pas fonctionné,Xamuma lu tax sama kàrt doxul.,declined card payment
"Hey a seller just contacted me that my money didn't come through. It was definitely deducted from my account, but now it appears it's back with me! Sort this out asap please.","Hé, un vendeur vient de me contacter pour me dire que mon argent n’est pas arrivé. Il a certainement été déduit de mon compte, mais maintenant il semble qu’il soit de retour avec moi ! Réglez cela dès que possible s’il vous plaît.","Hey, benn  jaaykat moo ma doon woo ngir waxma ni sama xaalis ñëwul. Dañu ko dindi ci sama kont, waaye leegi dafa melni dellusi na! Defar leen lii nimu gëna gaawe.",reverted card payment?
"My card will expire soon, When do I need to order a new one?","Ma carte va bientôt expirer, quand dois-je en commander un nouveau ?","Sama kàrt dafay jeex leegi, kañ laa wara defarlu bu bees?",card about to expire
Who can I speak with regarding a lost card?,À qui puis-je parler en cas de perte d’une carte ?,Kan laa mën a waxal su fekkee sama kàrt dafa réer ?,lost or stolen card
Can I top-up any amount I wish on any given day?,Puis-je recharger le montant que je souhaite un jour donné ?,Ndax mën naa sarse xaalis bi ma bëgga joxe benn bis?,top up limits
I would like to know how much I can top-up.,Je voudrais savoir combien je peux recharger.,Bëgg naa xam ñaata laa mëna sarse.,top up limits
Where is the nearest Mastercard ATM?,Où se trouve le distributeur Mastercard le plus proche ?,Fan la gab Master kàrt bi gëna jege nekk?,atm support
I attempted to deposit a cheque yesterday but the balance isn't showing today. Is it still pending?,"J'ai essayé de déposer un chèque hier, mais le solde n'apparaît pas aujourd'hui. Est-ce toujours en attente ?","Dama jéema duggal sek démb, waaye li des feeñul tey. Ndax dafay xaar ba leegi ?",Refund not showing up
I've got a repeated tranasaction on my card.,J'ai une transaction répétée sur ma carte.,Am naa benn jëflante buy baamtu ci sama kàrt.,card acceptance
Can I use my Apple watch to fill my gas tank?,Puis-je utiliser ma montre Apple pour faire le plein d’essence ?,Ndax mën naa jëfandikoo sama montar Apple ngir duy esaas ?,apple pay or google pay
I would like to be assisted with the activation of my card.,Je souhaite être assisté pour l'activation de ma carte.,Dama bëggoon na fexe ba sama kàrt di dox ?,activate my card
Please explain how disposable virtual card work.,Veuillez expliquer comment fonctionne la carte virtuelle jetable.,Baal nu nga leeral ni kàrt wirtiyel bi ñuy jëfandikoo benn yoon kese  di doxe.,get disposable virtual card
Can I add money to my card automatically during a trip?,Puis-je ajouter de l’argent automatiquement à ma carte pendant un voyage ?,Ndax mën naa yokk xaalis ci sama kàrt ci saasi sumay tukki?,automatic top up
I want to use my card. How do I activate it?,Je souhaite utiliser ma carte. Comment l'activer ?,"Dama bëgg a jëfandikoo sama kàrt, naka laay def ?",activate my card
"Card has been received, how will it show up on the app?","La carte a été reçue, comment apparaîtra-t-elle sur l'application ?","Kàrt bi jot nañu ko, naka lay feeñee ci aplikaasiyoŋ bi?",verify my identity
Top up not available in my wallet.,Recharge non disponible dans mon portefeuille.,Sarse jàppandiwul ci sama kalpe.,disposable card limits
I'd prefer Mastercard.,Je préférerais Mastercard.,Dama taamu kàrt Master.,wrong amount of cash received
I'm confused ass to why my contactless is not working.,Je ne comprends pas pourquoi mon sans contact ne fonctionne pas.,Xamuma lu tax sama baña laale du dox.,contactless not working
"Some cash was withdrawn in the app, but I did not do it.","De l'argent a été retiré dans l'application, mais je ne l'ai pas fait.","Dañu jël xaalis ci aplikaasioŋ bi, waaye defuma ko.",cash withdrawal not recognised
I got notified that my top up has been reverted. Why?,J'ai été informé que ma recharge a été annulée. Pourquoi ?,Dañu ma wax ne sama kàrt fomm nañu ko. Lu tax?,top up reverted
Is it possible that my card payment was reverted?,Est-il possible que mon paiement par carte ait été annulé ?,Ndax mën naa nekk ni sama peyoor ak kàrt bi dañu ko fomm?,reverted card payment?
The fee charged when I changed rubles into British pounds was too much.,Les frais facturés lorsque j'ai changé des roubles en livres sterling étaient trop élevés,fere yi ñuy sàkku bi may soppi ruubal ci liivre esterling dañu kawe lool.,beneficiary not allowed
I think someone may be using my card.,Je pense que quelqu'un utilise peut-être ma carte.,yaakaar naa dafa am kuy jëfandikoo sama kàrt ?,pending transfer
Why isn't my card working? I was pumped to use my new card but it keeps getting declined. Help please.,"Pourquoi ma carte ne fonctionne-t-elle pas ? J'étais impatient d'utiliser ma nouvelle carte, mais elle est toujours refusée. Aidez-moi s'il vous plaît.","Lu tax sama kàrt doxul? Yàkkamti woon naa jëfandikoo sama kàrt bu bees bi, waaye ba leegi nangu wuñu ko. Dimbali leen ma ngir yàlla.",fiat currency support
Do I need to do anything special for my friend to send money to my account?,Dois-je faire quelque chose de spécial pour que mon ami envoie de l'argent sur mon compte ?,Ndax fàww ma defal sama xarit lenn lu amul fenn ngir mu mëna yónnee xaalis ci sama kont?,receiving money
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,Existe-t-il une source spécifique à partir de laquelle le taux de change pour le transfert que je prévois d'effectuer est tiré ?,Ndax dayo weccoo xaalis bi may waaj a yónne am na coslaay ?,exchange rate
I noticed a different charge while I was taking my money out.,J'ai remarqué un débit différent lors d'un retrait.,Dama seetlu ni demin bi wuute na ak bi may dindi xaalis. ,cash withdrawal not recognised
Where is my virtual card located?,Où se trouve ma carte virtuelle ?,Fan la sama kàrt wirtuel nekk?,getting virtual card
Can you tell me how I go about activating a new card?,Pouvez-vous me dire comment procéder pour activer une nouvelle carte ?,Ndax mën ngeen ma wax naka lañuy aktiwee kàrt bu bees ?,activate my card
I notice that I have a card payment that's been cancelled.,Je remarque que j'ai un paiement par carte qui a été annulé.,Dama seetlu ni amnaa payoor ak kàrt buñu fomm?,reverted card payment?
How can I activate my new card? I didn't recieve any information with it about how to do so.,Comment activer ma nouvelle carte ? Je n'ai reçu aucune information sur la marche à suivre.,Naka laa mën a doxalee sama kàrt bu bees bi ? Amuma benn xibaar ci ni nu ko war a defee,activate my card
I was not able to use the ATM to get cash,Je n’ai pas pu utiliser le distributeur automatique pour retirer de l’argent,Mënu ma jëfandikoo gab bi ngir jël xaalis.,declined cash withdrawal
"Okay, I found my card, can I put it back in the app?","Ok, j'ai retrouvé ma carte, puis-je la remettre dans l'application ?","Waaw, gis naa sama kàrt, ndax mën naa ko def ci aplikaasiyoŋ bi?     ",card linking
I can't seem to be able to use my card,Je n'arrive pas à utiliser ma carte,Mënu ma jëfandikoo sama kàrt,card not working
What is the process for activating a new card.,Quel est le processus pour activer une nouvelle carte ?,Ban  anam lañu mëna doxalee ab kàrt bu bees?,unable to verify identity
I see cash withdrawal activity in the app that is not mine.,Je vois une activité de retrait d'argent dans l'application qui n'est pas la mienne.,Gis naa xaalis bu ñu jël ci jumtuwaayu xarala bi nga xam ne bokkul ak sama bes.,cash withdrawal not recognised
How do I edit my personal details?,Comment puis-je modifier mes données personnelles ?,Naka laa mëna soppee sama doney bopp.,terminate account
