input,input_fr,input_wo,label
Which fiat currencies are supported for holding and exchanging?,Quelles monnaies fiduciaires sont prises en charge pour la détention et l'échange ?,Yan ñooy xeeti xaalisi kóolute yi ngeen di jëfandikoo ngeen weccoo bi ?,fiat currency support
Remove my account immediately.,Supprimez mon compte immédiatement.,Far leen sama kont ci nu mu gën a gaawe.,terminate account
I'm cancelling this charge. I still have not received what I bought from these people a while ago.,J’annule ces frais. Je n’ai toujours pas reçu ce que j’ai acheté de ces gens il y a quelque temps.,Damay fomm njëg yii. Ba leegi jotuma li ma jëndoon ci nit ñooñu amna ay waxtu ci ginaaw.,request refund
I've just moved and I need to change my details,Je viens d'emménager et je dois modifier mes coordonnées,"Maa ngi doog a tuxu, dama bëggoon a soppi samay wayndare",edit personal details
How can I change my information?,Comment puis-je modifier mes informations ?,Naka laa mëna soppee samay leeral?,edit personal details
how do i see what i transferred,comment puis-je voir ce que j'ai transféré,Naka laa mën gisee li ma yónnee ?,balance not updated after bank transfer
I had an unexpected fee,J'ai eu des frais inattendus,Dama am ay fere yuma xaarul woon.,transfer fee charged
What kind of fiat currencies are supported for holding and exchange?,Quels types de monnaies fiduciaires sont pris en charge pour la détention et l'échange ?,Yan ñooy xeeti xaalisi kóolute yi ñu nangu ngir wecco bi ?,fiat currency support
"My money has gone missing. I had recently added money in, and saw it was there and went through. Now it's missing. What is happening?","Mon argent a disparu. J'avais récemment ajouté de l'argent, je l'ai vu et je l'ai utilisé. Maintenant, il a disparu. Que se passe-t-il ?","Sama xaalis neena mes. Sànq rekk laa ko doon yokk te seetlu woon naa ne mingi fi, ma wéyal, Léegi nag, neena mes. Lan moo xew ?",top up reverted
Do you have a return policy?,Avez-vous une politique de retour ?,Ndax am ngeen politigu delloo ?,request refund
Help me get the virtual card working.,Aidez-moi à faire fonctionner la carte virtuelle.,Jàppaleleen ma ngir ma doxal sama kàrtu xarala bi.,virtual card not working
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,J'ai essayé de transférer des fonds à un bénéficiaire et j'ai été refusé. Pouvez-vous me dire pourquoi ?,Jéem naa yónnee xaalis benn nit waaye da bañ. Mën ngeen ma wax luko waral?,beneficiary not allowed
What businesses can I use this card with?,Avec quelles entreprises puis-je utiliser cette carte ?,Yan yan xeeti jokkalante ci wàllu njënd ak njaay la mën a jëfandikoo kàrt bii ?,card acceptance
Can I change my PIN at a nearby ATM when in Spain? I think someone saw my PIN and I need to change it but am on vacation.,"Puis-je changer mon code PIN à un distributeur automatique de billets à proximité en Espagne ? Je pense que quelqu'un a vu mon code PIN et je dois le changer, mais je suis en vacances.","Ndax mën naa soppi sama kodu PIN ci gab bi jege Espaañ ? Yaakaar naa ni amna ku gis sama kodu PIN, dama ko wara soppi te maa ngi ci wakaas.",change pin
Why did I not get my refund yet?,Pourquoi n'ai-je pas encore reçu mon remboursement ?,Lu tax jotaguma ci xaalis bi ñu ma waroon a delloo ?,Refund not showing up
Tell me what I need to do to activate my card.,Dites-moi ce que je dois faire pour activer ma carte.,Wax ma lan laa soxla ngir sama kàrt di dox ?,activate my card
"On my statement, there is a strange 1£ charge that appears as pending. What's causing that? I haven't purchased anything that's just a pound.","Sur mon relevé, il y a un étrange débit de 1 £ qui apparaît comme en attente. Quelle est la cause ? Je n'ai rien acheté de plus d'une livre.","Ci sama karne kont, gis naa ci benn pound u fere boo xam ne jàllagul. Lan mooy sabab bi ? Jënduma dara luy jar benn dolaar",extra charge on statement
Why did my money disappear when I topped up??,Pourquoi mon argent a-t-il disparu lorsque j'ai rechargé ?,Lu tax gisatuma sama xaalis bi ma sarsee sama kàrt ?,top up reverted
Whats the process of tranfering money into an account?,Quel est le processus de transfert d’argent sur un compte ?,Lan mooy anam wi ñuy yónnee xaalis ci kontu?,transfer into account
what cards and currencies are accepted?,quelles cartes et devises sont acceptées ?,Ban kàrt ak ban xaalis lañuy nangu?,supported cards and currencies
I want to do a cash deposit to top up. How do I do this?,Je souhaite effectuer un dépôt en espèces pour recharger mon compte. Comment faire ?,Dama bëgg a dugal xaalis ngir feccali sama kont bi. Naka laa war a def ?,top up by cash or cheque
A transaction shows duplicate times.,Une transaction affiche des heures en double.,Ab yóonee mingi wane ñaari yoon ci ay waxtu.,transaction charged twice
I can not find my refund.,Je ne trouve pas mon remboursement.,Gisuma xaalis bi ñu a war a delloo,Refund not showing up
Can I get paid for this in another currency?,Puis-je être payé pour cela dans une autre devise ?,Ndax mënn ngeen ma fey ci beneen xeetu xaalis ?,receiving money
Is it possible to get a second card for my daughter?,Est-il possible d'obtenir une deuxième carte pour ma fille ?,Ndax mën naa am beneen kàrt ngir sama doom ju jigéen ji ?,getting spare card
There is a €1 extra fee in my statement,Il y a des frais supplémentaires de 1 € dans mon relevé,Amna yeneen njëg yu tollu ci 1fcfa ci sama rëlëwe.,extra charge on statement
I would like to cancel my account.,Je voudrais annuler mon compte.,Dama bëggoon a far sama kont,terminate account
I was charged multiple times for one purchase,J’ai été facturé plusieurs fois pour un seul achat,Dañu may fayeeku yoon yu bari ngir benn mbir buma jënd.,transaction charged twice
I don't recognize a charge on my statement.,Je ne reconnais pas de frais sur mon relevé.,"Fere yi ma gis ci sama kont, xamuma lu tax mu nekk ci ",card payment not recognised
My card has been found. Is there any way for me to put it back into the app?,Ma carte a été retrouvée. Puis-je la récupérer dans l'application ?,Gis naa sama kàrt. Ndax mën naa ko lëkkalewaat ak aplikaasiyoŋ bi ?,card linking
I would like to know how to work out where my funds came from?,Je voudrais savoir comment savoir d'où viennent mes fonds ?,Bëggoon naa xam naka lay xamee fu sama xaalis yi di jogee?,verify source of funds
Can you please check my UK Account to make sure everything went alright?  I made the transfer a couple of hours ago.,Pouvez-vous vérifier mon compte britannique pour vous assurer que tout s'est bien passé ? J'ai effectué le virement il y a quelques heures.,Ndax mën ngeen a cambar sama kont ba nekk Royaume-Uni ngir ma xam ndax lépp a ngi dox ? Sànq laa yónnee xaalis bi ,balance not updated after bank transfer
"My card keeps getting declined when I try to use it.  I would like to top-up, but it is not going though.","Ma carte est toujours refusée lorsque j'essaie de l'utiliser. J'aimerais la recharger, mais je n'y parviens pas.","Sama kàrt dañu ko bañ ba leegi. Bëggoon naa ko sarse, waaye mënu  ma ko.",top up failed
How can I use my credit card to transfer money?,Comment puis-je utiliser ma carte de crédit pour transférer de l'argent ?,Nan laa mëna jëfandikoo sama kart kredi ngir yónnee xaalis?,topping up by card
Can I deposit money using Apple Pay?,Puis-je déposer de l'argent en utilisant Apple Pay ?,Ndax mën naa dugal xaalis ci Apple Pay?,apple pay or google pay
Do I have to go to the bank to change my PIN?,Dois-je me rendre à la banque pour changer mon code PIN ?,Ndax dama wara dem bànk ngir soppi sama kodu PIN?,change pin
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,Je crois que mon portefeuille est tombé dans le métro aujourd'hui ! Je m'en suis rendu compte dès que je suis arrivé à mon bureau. Comment couper la carte ?,Damaa yaakaar ni sama kalpe dafa réer ci metro bi tay! Bima yeggee ci sama bërabu ligéeyu kaay rek laako fattaliku. naka lañuy daggee kàrt bi?,lost or stolen card
i live in portugal. do you operate here?,j'habite au Portugal. Est-ce que vous opérez ici ?,"Portugal laa dëkk, ndax foofu am na ay GAB ?",country support
The app is showing a payment I never made.,L'application affiche un paiement que je n'ai jamais effectué.,Aplikasioŋ bi dafay wane ab payoor bu ma mësul def.,card payment not recognised
Why has my top-up been returned to my account?,Pourquoi ma recharge a-t-elle été retournée sur mon compte ?,Lu tax ñu dugal sama sarsamã bi ci sama kont ?,top up reverted
The bank charged me fees for withdrawing cash!,La banque m'a facturé des frais pour retirer de l'argent !,Bànk bi dàgg na ma ay fere bi ma jëlee xaalis,cash withdrawal charge
Why is my identification required?,Pourquoi mon identification est-elle requise ?,Lu tax ñu laaj sama kayitu ràññeekaay?,why verify identity
I need to get a disposable virtual card?,J'ai besoin d'obtenir une carte virtuelle jetable ?,Yittewoo naa ab kàrtu xarala,get disposable virtual card
I tried to pay through my account but the payment is not going through. What's going on?,J'ai essayé de payer via mon compte mais le paiement n'a pas abouti. Que se passe-t-il?,Jéem naa fayee ak sama kont waaye demul. Lu xew ?,pending card payment
My morning transaction needs to be canceled.,Ma transaction du matin doit être annulée.,Sama jokkalanteb  xaalis bi ma def ci suba si dees ko war a niilal.,cancel transfer
Why did you charge me extra when I withdrew cash?,Pourquoi m'avez-vous facturé un supplément lorsque j'ai retiré de l'argent ?,Lu tax ngeen teg ma yeneen fere bi may jël xaalis ?,cash withdrawal charge
Why are my payments not working and show pending?,Pourquoi mes paiements ne fonctionnent-ils pas et s'affichent-ils comme en attente ?,Lu tax samay peyoor duñu jàll ba noppi di wéy di nekk ci pekku négandiku ?,pending card payment
what is going on with my cash withdrawal? the exchange rate is wrong,Que se passe-t-il avec mon retrait d'espèces ? Le taux de change est erroné.,Lan moo xew ak sama dindi xaalis? Njëgu weccoo xaalis bi baaxul.,wrong exchange rate for cash withdrawal
"I don't recognize this payment on my app, I am sure I didn't spend any money there.","Je ne reconnais pas ce paiement sur mon application, je suis sûr que je n’y ai pas dépensé d’argent.","Xàmmee wuma payoor bii ci sama aplikaasioŋ, gëm naani jëluma xaalis foofu.",card payment not recognised
Are there limits to businesses that will accept this card?,Existe-t-il des limites quant aux entreprises qui accepteront cette carte ?,Ndax am na yemuwaay ci bérébi njënd ak njaay yi nangu kàrt bii ?,card acceptance
The ATM keeps declining my card! I tried two different ATMs already can you please check if everything is alright with my account??,Le distributeur refuse ma carte sans arrêt ! J'ai déjà essayé deux distributeurs différents. Pourriez-vous vérifier si tout va bien sur mon compte ?,GAB nanguwul sama kàrt ba tay ! Jéem naa ko ci ñaari GAB yu wuute. Ndax mën ngeen ma cambaral sama kont ?,declined cash withdrawal
When I got cash I believe that the exchange rate was wrong,"Quand j’ai eu de l’argent, je crois que le taux de change était mauvais","Bimay am xaalis, jàppoon naa ni njëgu weccoo xaalis bi baaxul woon.",wrong exchange rate for cash withdrawal
Why can't the recepient of my money transaction see it?,Pourquoi le destinataire de ma transaction monétaire ne peut-il pas la voir ?,Li tax ki ma waroon a yónnee xaalis bi gisu ko ?,transfer not received by recipient
Where do I get a disposable card,Où puis-je me procurer une carte jetable,Fan laa mëna amee kàrt bu ñuy sànni,get disposable virtual card
I just looked over my statement and I don't recognize the name of a card payment.,Je viens de consulter mon relevé et je ne reconnais pas le nom d'un paiement par carte.,Dama xool leegi sama jëflante te xame wu ma tur wi ñu feyee ci kàrt bi.,card payment not recognised
I tried to deposit a cheque into my account and it is not letting me.,J'ai essayé de déposer un chèque sur mon compte et cela ne me le permet pas.,Jéem naa dugal ab seg ci sama kont waaye mujjewul àntu ,top up by cash or cheque
Can I use my salary for this?,Puis-je utiliser mon salaire pour cela ?,Ndax mën naa jëfandikoo sama saleer ngir loolu?,receiving money
What happens with the duplicate charge in my account?,Que se passe-t-il avec les frais en double sur mon compte ?,Lan moo war xaalis bi ñu dagg ñaari yoon ci sama kont ?,transaction charged twice
Is there a limit to how much I can top-up?,Y a-t-il une limite au montant que je peux recharger ?,Ndax xaalis bi ma mën sarse dafa am yemuwaay ?,top up limits
My transfer to another account was not allowed. Why is that?,Mon transfert vers un autre compte n'a pas été autorisé. Pourquoi ?,Sama yónnee ci beneen kont nangu wuñu ko. Lu tax ?,beneficiary not allowed
Could google pay and top up be together?,Google Pay et la recharge pourraient-ils être ensemble ?,Ndax Google Pay ak sarse mën nañu ànd?,apple pay or google pay
Somebody made a withdrawal from my account for 500. I have my card so how can this be? Does somebody have a duplicate card or something? Help please.,"Quelqu'un a effectué un retrait de 500 $ sur mon compte. J'ai ma carte, comment est-ce possible ? Quelqu'un aurait-il un duplicata de ma carte ? À l'aide, s'il vous plaît.","Am na ku jëlee ci sama kont 500i euro, te maa ngi yore sama kàrt. Loolu naka la mën a nekkee ? Ndax dafa am keneen ku ci yore bu yem kepp walla lu ne mel. Jàppaleen ma ngir yàlla.",cash withdrawal not recognised
Where can I check out the source of available funds in my account?,Où puis-je vérifier la source des fonds disponibles sur mon compte ?,Fan laa mëna xamee xaalis bi des sama ci sama kont?,verify source of funds
How do I cancel a transaction?,Comment annuler une transaction ?,naka lañuy fommee ab  jëflante?,cancel transfer
Why hasn't my card payment cleared yet?,Pourquoi mon paiement par carte n’a-t-il pas encore été compensé ?,Lutax peyoor bi ma defe ci sama kàrt bi jàllul batey.,pending card payment
Is it free to transfer money or is there a fee?,Le transfert d’argent est-il gratuit ou y a-t-il des frais ?,Ndax yónnee xaalis bi am na ay fere walla déet ?,transfer fee charged
Please help me find my top-up verification code,Aidez-moi à trouver mon code de vérification de recharge,Dimbali leen ma ma gis sama kodu saytu sarse.,verify top up
Why did the app deny my top-up?,Pourquoi l'application a refusé ma recharge ?,lutax aplikaasioŋ bi bañ sama saarse?,top up failed
"I sent money to someone but they haven't gotten it, what's going on?","J’ai envoyé de l’argent à quelqu’un mais il ne l’a pas reçu, que se passe-t-il ?","Dama yónnee xaalis kenn waaye jotu ko, lu xew?",transfer not received by recipient
What do I do if I completed a money transfer but the recipient hasn't received it?,Que dois-je faire si j'ai effectué un transfert d'argent mais que le destinataire ne l'a pas reçu ?,Lan laa wara def sudee dama yóonee  xaalis waaye ki ma yóonee jotu ko?,transfer not received by recipient
"After I attempted a transfer, it failed.","Après avoir tenté un transfert, celui-ci a échoué.","Ginnaaw bi ma jéemee, yónnee bi àntuwul ",failed transfer
Can I tell what business will take this card?,Puis-je savoir quelle entreprise acceptera cette carte ?,Ndax mën naa xam ban bërëbu liggéeyukaay mooy nangu kart bii?,card acceptance
I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,J'ai besoin d'aide pour comprendre ce paiement étrange sur mon compte. Il est en attente et ne disparaît pas.,Yittewoo naa ndimbal ngir lan la peyoor bu doy waar bii di def ci sama kont. Jàllul te maa ngi koy gis ba tay,extra charge on statement
I am just waiting on the completion of the transaction.,J'attends juste la finalisation de la transaction.,Maa ngi xaar jëflante bi dem.,transfer not received by recipient
I just replaced my phone so do I have to make a new account?,"Je viens de remplacer mon téléphone, dois-je donc créer un nouveau compte ?","Dama soppi telefon, ndax dama war a tijji kont bu bees ?",lost or stolen phone
What do I do if I can't get my card out of the ATM?,Que dois-je faire si je ne parviens pas à retirer ma carte au distributeur automatique ?,Lu ma wara def suma mënula génnee sama kàrt ci gab bi?,card swallowed
I have two of the same charges on my account!,J'ai deux frais identiques sur mon compte !,Jël nañu ci sama kont ñaari fere yu niroo.,transaction charged twice
help me link my card,aidez-moi à lier ma carte,Jàppale ma ngir ma lëkkale sama kàrt ,card linking
My transfer was declined. Why did this happen?,Mon transfert a été refusé. Pourquoi ?,Sama toxal dañu ko bañ. Lu tax?,declined transfer
How much could I top up?,Combien puis-je recharger ?,Ñaata laa mën a sarse ?,top up limits
Is it possible to have more than one disposable card?,Est-il possible d'avoir plus d'une carte jetable ?,Ndax mënees na am yeneen kart yi ñuy sànni?,disposable card limits
Why does top-up require verification?,Pourquoi la recharge nécessite-t-elle une vérification ?,Lu tax xaalis bi ma war a dugal soxla ag cambar ?,verify top up
Can you tell me what cards and currencies you support?,Pouvez-vous me dire quelles cartes et devises vous prenez en charge ?,mën nga maa wax ban kart ak ban xaalis ngay jël?,supported cards and currencies
What is the reason my payment was not accepted?,Quelle est la raison pour laquelle mon paiement n'a pas été accepté ?,Lan moo tax nanguwuñu sama peyoor?,declined card payment
I don't know where a direct debit payment came from,Je ne sais pas d'où vient un paiement par prélèvement automatique,Xamuma fan la fey ak jëlum xaalis bu gaaw bi jogee ,direct debit payment not recognised
Where can I use my Mastercard?,Où puis-je utiliser ma Mastercard ?,Fan laa mën a jëfandikoo sama kàrtu Mastercard ?,card acceptance
What is the extra fee that was added when I used the card?,Quels sont les frais supplémentaires qui ont été ajoutés lorsque j'ai utilisé la carte ?,Yan ñooy yeneen fere yi ñu ma feyloo bi ma jëfandikoo sama kàrt ?,card payment fee charged
Why is my transaction taking so long to complete?,Pourquoi ma transaction prend-elle autant de temps à se terminer ?,Lu tax jokkalante bi di yeex a jàll ?,transfer not received by recipient
"Why wasn't it obvious that you charge for payments? If you put the fees in an easy to read format, this could have been avoided.","Pourquoi n'était-il pas évident que vous facturiez des paiements ? Si vous aviez présenté les frais de manière claire et lisible, cela aurait pu être évité.","Lu tax leeralu leen woon ne dangay di dagge ay fere ci peyoor yi ? Su fekkoon xamle ngeen ko ci anam wu yomb, loolu doon na mën a moytu jafe-jafe bii ",card payment fee charged
May I order another card?,Puis-je commander une autre carte ?,Ndax mën naa komaande beneenkàrt?,getting spare card
I have trouble proving my identity.,J'ai du mal à prouver mon identité.,Dama am ay jafe-jafe ngir xamle sama dàntite,unable to verify identity
When will my top-up happen?,Quand ma recharge aura-t-elle lieu ?,Kañ la sarsamã di jàll ?,pending top up
Why am I being charged for getting cash?,Pourquoi me facture-t-on pour avoir reçu de l’argent liquide ?,Lu tax ma war a fey ngir jot xaalis ?,cash withdrawal charge
What is the time frame that transfers normally take from a UK account? I just completed a transfer and nothing shows up. I need to know if everything is alright.,Quel est le délai habituel pour les virements depuis un compte britannique ? Je viens d'effectuer un virement et rien ne s'affiche. J'aimerais savoir si tout se passe bien.,Lan mooy diir bi war ngir yónnee xaalis Royaume Uni ? Dama yónnee xaalis waaye gisuma dara. Bëgg naa xam ndax lépp a tege ciw yoon ,balance not updated after bank transfer
What identification is required to activate my card?,Quelle pièce d'identité est requise pour activer ma carte ?,Wan këyit laa war a soxla ngir fexe ba sama kont dox ?,activate my card
I just bought an item and changed my mind.  I have not received it yet how can I get refunded.  Thank you.,Je viens d'acheter un article et j'ai changé d'avis. Je ne l'ai pas encore reçu. Comment puis-je me faire rembourser ? Merci.,"Jënd naa benn yëf, waaye dama ko bëgga xàcc. Jotaguma ci, naka laa mën a def ba jotaat ci sama xaalis ? Maa ngi leen di sant.",request refund
I would like to dispute a payment I didnt make,Je souhaite contester un paiement que je n'ai pas effectué,Dama bëggoon a jéebaane ab peyoor bu ma deful,direct debit payment not recognised
I'm in China and need a new card. Please help.,"Je suis en Chine et j'ai besoin d'une nouvelle carte. S'il vous plaît, aidez-moi.",Maa ngi Senegaal te dama soxla kàrt bu bees. Dimbali leen ma ngir yàlla.,card about to expire
What I topped up was reverted by the app.,Ce que j'ai rechargé a été annulé par l'application.,"Li ma sarsewoon, aplikaasiyoŋ bi dafa ko niilal",top up reverted
I couldn't get the money I needed.,Je n’ai pas pu obtenir l’argent dont j’avais besoin.,Mënu ma am xaalis bima soxla woon.,wrong amount of cash received
I am not happy with your service and request that my account be terminated!,Je ne suis pas satisfait de votre service et demande la résiliation de mon compte !,"Kontaanuma ci seeni sarwiis, moo tax may sàkku ngeen téj sama kont.",terminate account
Where is the PIN for my card located?,Où se trouve le code PIN de ma carte ?,Fan la sama baatu ubbikkayu kàrt nekk?,get physical card
I think that the card is stolen.  What are my next steps?,Je pense que ma carte a été volée. Quelles sont les prochaines étapes ?,Yaakaar naa ne dañoo sàcc sama kàrt. Yan jéego  laa war a def ?,lost or stolen card
Will I be charged any fee for receiving money?,Vais-je devoir payer des frais pour recevoir de l'argent ?,Ndax fàww ma fey  ay njëg ngir mëna jot xaalis?,top up by bank transfer charge
explain the interbank exchange rate,expliquer le taux de change interbancaire,Leeralal dayo weccante xaalis diggante bànk ak bànk,exchange rate
How does a disposable virtual card work?,Comment fonctionne une carte virtuelle jetable ?,Naka la kàrt wirtuel bu ñuy sànni di doxe?,get disposable virtual card
my cash out is still pending,mon retrait est toujours en attente,Sama dindi mingi xaar ba leegi.,pending cash withdrawal
There is a strange 1£ charge that appears as pending on my statement. What's the cause for that? I haven't purchased anything for a pound.,Un étrange débit de 1 £ apparaît comme en attente sur mon relevé. Quelle en est la cause ? Je n'ai rien acheté pour une livre.,Am na fere benn pound  buy feeñe ci pekku négandiku ci sama karne kont. Lan mooy sabab bi ? Jënduma dara luy jar benn pound,extra charge on statement
My payment was terminated,Mon paiement a été interrompu,Sama peyoor dañu ko dakkal,reverted card payment?
Would it be possible to open up an account for children?,Serait-il possible d'ouvrir un compte pour les enfants ?,Ndax mën nañu ubbil ay xale kont?,age limit
Why is the exchange rate on my card payment different than I expected?,Pourquoi le taux de change sur mon paiement par carte est-il différent de celui attendu ?,Lu tax dayo xaalis bi ñu ma dagg wuute ak bi ma doon xaar ?,card payment wrong exchange rate
Does it cost anything to top up?,Est-ce que ça coûte quelque chose de recharger ?,Ndax ndugalum xaalis ci kont dafay laaj ay fere ?,top up by card charge
The ATM machine would not give my card back,Le distributeur automatique n'a pas rendu ma carte,Gab bi delloowul sama kàrt,card swallowed
Tell me where I can find the auto top up feature and a little bit about it please.,"Dites-moi où je peux trouver la fonction de recharge automatique et quelques informations à ce sujet, s'il vous plaît.",Wax ma fan laa mëna gise doxalukaayu sarse otomatik?,automatic top up
how long does it take to reflect in my balance a top up,Combien de temps faut-il pour qu'une recharge soit reflétée dans mon solde ?,Ñaata waxtu laa war a toog ngir ab sarsamã yegsi ci sama kont ?,pending top up
I would like to return my purchases,Je souhaite retourner mes achats,Dama bëgga dello lima jëndoon,request refund
Does this app have the same exchange rate as third parties?,Cette application a-t-elle le même taux de change que les tiers ?,Ndax aplikaasioŋ bii dafa am njëgu weccoo xaalis bu méngoo ak yeneen yi?,exchange rate
I topped up but it isn't in my account,J'ai rechargé mais ce n'est pas sur mon compte,Dama sarse xaalis waaye nekkul ci sama kont,pending top up
Are you able to delete my account?,Pouvez-vous supprimer mon compte ?,Ndax mën ngee a téj sama kont ?,terminate account
I live in Germany. Is that one of the countries you are in? What other countries are you in?,J'habite en Allemagne. Est-ce un des pays où vous vivez ? Dans quels autres pays vivez-vous ?,Allemagne laa dëkk. Ndax bokk na ci réew yi seenii sarwiis am. Ci yan yeneen réew la am itam ?,country support
"There is a fee for a transfer, please explain that to me.","Il y a des frais pour un transfert, veuillez m'expliquer cela.","Teg nañu ma ay fere ci xaalis bu ma doon yónnee, leeralal leen ma loolu ",transfer fee charged
"I don't want this account anymore, how do I delete it?","Je ne veux plus de ce compte, comment le supprimer ?","Dama bëggatul kontu bii, naka laa koy efaase?",terminate account
What is the reason my top-up is still pending?,Quelle est la raison pour laquelle ma recharge est toujours en attente ?,Lan moo tax xaalis bi ma dugal ci sama kont bi yegseegul ba tay ?,pending top up
Why was I charged a higher exchange rate when I bought something abroad?,Pourquoi ai-je dû payer un taux de change plus élevé lorsque j'ai acheté quelque chose à l'étranger ?,Lu tax dayo weccoo xaalis bi ñu ma dagg gënoon a yéeg bi may jënd ab afeer bitim-réew ?,card payment wrong exchange rate
My top up card needs verification and I don't know how to do it,Ma carte de recharge nécessite une vérification et je ne sais pas comment procéder.,Dañu war a saytu sama kàrtu sarsamã te xamuma naka laa koy defee ?,verify top up
What is the maximum number of transactions I can do with a disposable card?,Quel est le nombre maximum de transactions que je peux effectuer avec une carte jetable ?,Ban limu jëflante bu gëna bari bu ma mëna def ak kàrt buñuy jëfandikoo benn yoon kese?,disposable card limits
I can't find the top-up card verification code.,Je ne trouve pas le code de vérification de la carte de recharge.,Gisuma kodu saytu kàrt sarse bi.,verify top up
How do I stop fraud to my account?,Comment puis-je arrêter la fraude sur mon compte ?,Naka laa mëna dakkalee sàcc ci sama kontu?,compromised card
Do I need to do something to get a new card once it expires?,Dois-je faire quelque chose pour obtenir une nouvelle carte une fois qu’elle expire ?,Ndax wara def dara ngir am kàrt bu bees su sama kàrt  weeso gàpp?,card about to expire
Is it possible to do auto top up?,Est-il possible de faire une recharge automatique ?,Ndax mën naa def sarsamã bu gaaw ?,automatic top up
How long should a cheque deposit take to show? My account hasn't updated and I want to make sure everything is okay.,Combien de temps faut-il pour qu'un chèque soit visible ? Mon compte n'a pas été mis à jour et je veux m'assurer que tout va bien.,"Ñaata wax la xaalis bu ma dugal ci sama kont jaare ko ci ab seg war a jël ngir yegsi ci kont bi ? Kenn yeesalaatul sama kont, te bëgg naa xam ndax lépp a tege ci yoon",balance not updated after cheque or cash deposit
"My Bank is in Europe, how long will the transfer take?","Ma banque est en Europe, combien de temps prendra le virement ?","Sama bànk a nga ca Europe, ñaata waxtu la jokkalante koppar bi war a jël ?",transfer timing
The ATM didn't give me the full requested amount,Le guichet automatique ne m'a pas donné le montant total demandé,Gab bi joxuma xaalis bi ma laaj yépp,wrong amount of cash received
Is there a way to reset my PIN?,Existe-t-il un moyen de réinitialiser mon code PIN ?,Ndax amn anam bu ñuy yeesale sama kod-PIN?,pin blocked
I believe that someone is using my card without my knowledge!,Je crois que quelqu'un utilise ma carte à mon insu !,Dama yaakaar be dafa am kuy jëfandikoo sama kàrt ci lu ma yëgul,compromised card
Is there a limit to the number of disposable cards I can have?,Y a-t-il une limite au nombre de cartes jetables que je peux avoir ?,Ndax dafa am lim boo xam ne mënuma ko weesu ci ay kàrti jëfandiku-sànni ?,disposable card limits
i cant seem to activate card,je n'arrive pas à activer la carte,Mënumaa aktiwe sama kàrt ,activate my card
